period,period_start,total_feedback,core_ide_count,performance_count,code_repo_count,content_count,ai_assistant_count,uiux_count,others_unmatched_count,generic_count,ide_related_count
week,2025-09-29,20,4,2,0,1,0,2,7,4,4
week,2025-10-06,67,13,8,2,9,1,9,15,19,14
week,2025-10-13,67,5,14,3,7,2,7,18,17,8
week,2025-10-20,87,10,17,1,12,0,9,21,26,11
week,2025-10-27,81,10,13,4,18,5,15,15,19,13
week,2025-11-03,67,11,14,3,9,2,14,16,15,13
week,2025-11-10,63,6,8,1,7,2,16,16,11,7
week,2025-11-17,67,5,10,1,8,4,6,16,24,6
week,2025-11-24,62,14,11,1,7,4,8,12,13,15
week,2025-12-01,67,14,8,2,16,2,9,11,19,15
week,2025-12-08,57,10,11,0,10,0,9,9,17,10
week,2025-12-15,56,10,13,0,4,2,11,12,9,10
week,2025-12-22,29,2,7,0,4,1,2,9,7,2
week,2025-12-29,6,0,2,1,1,0,2,0,2,1
week,2026-01-05,54,8,4,0,11,1,15,11,11,8
week,2026-01-12,56,12,8,4,7,4,8,16,12,15
week,2026-01-19,55,6,9,2,8,2,8,15,19,6
week,2026-01-26,76,12,23,3,9,4,7,12,19,14
week,2026-02-02,84,17,19,3,17,6,11,13,21,18
week,2026-02-09,84,12,22,1,11,3,12,15,22,13
week,2026-02-16,85,16,22,2,13,1,7,14,20,18
week,2026-02-23,76,9,13,2,13,3,14,13,20,11
week,2026-03-02,59,15,7,2,6,2,9,13,12,16
week,2026-03-09,59,5,10,0,7,2,12,11,17,5
week,2026-03-16,63,10,11,1,8,0,10,13,20,11
week,2026-03-23,30,5,7,1,8,2,4,7,4,6
