period,period_start,total_feedback,content_count,performance_count,ai_assistant_count,uiux_count,core_ide_count,code_repo_count,generic_count,others_unmatched_count,ide_related_count
week,2025-09-29,815,364,53,10,77,98,28,178,154,117
week,2025-10-06,1757,613,128,17,137,173,37,657,241,200
week,2025-10-13,1701,554,121,27,147,150,54,672,233,188
week,2025-10-20,1597,655,132,18,146,218,54,393,271,259
week,2025-10-27,1771,650,121,23,140,170,50,583,291,202
week,2025-11-03,1764,548,125,16,117,155,68,691,280,205
week,2025-11-10,1911,611,136,19,160,188,54,632,417,227
week,2025-11-17,1514,539,102,13,140,131,49,546,205,175
week,2025-11-24,1359,459,102,16,103,123,41,494,219,153
week,2025-12-01,1145,402,78,18,91,109,47,390,186,143
week,2025-12-08,1528,544,216,27,123,188,65,431,253,230
week,2025-12-15,910,337,71,7,68,99,36,279,142,126
week,2025-12-22,756,236,68,9,76,77,20,270,122,94
week,2025-12-29,716,239,72,4,69,66,21,267,99,84
week,2026-01-05,1139,434,84,10,75,111,42,384,155,139
week,2026-01-12,1189,461,106,24,118,118,37,325,202,147
week,2026-01-19,1351,512,106,16,124,140,39,365,263,171
week,2026-01-26,1355,549,115,19,113,119,62,316,275,169
week,2026-02-02,1403,524,140,25,115,173,47,345,282,206
week,2026-02-09,1357,491,137,23,140,168,57,343,256,209
week,2026-02-16,1331,467,114,21,119,141,47,388,249,179
week,2026-02-23,1340,495,93,21,113,135,58,374,257,178
week,2026-03-02,1259,469,157,29,135,177,50,275,241,216
week,2026-03-09,1289,457,148,22,127,177,72,295,253,237
week,2026-03-16,1200,470,128,22,109,156,37,299,203,184
week,2026-03-23,333,121,37,1,40,37,19,97,51,50
