attempt_week,total_positive_feedback,content,performance,ai_assistant,uiux,core_ide,generic,others_unmatched
2026-01-05,3,0,1,1,0,0,0,1
2026-01-12,2,2,0,1,0,0,0,0
2026-01-19,4,1,1,1,0,0,1,1
2026-01-26,20,6,1,5,3,3,3,7
2026-02-02,9,2,0,1,0,1,1,4
2026-02-09,12,3,1,1,0,1,2,5
2026-02-16,19,9,2,3,2,3,4,2
2026-02-23,18,9,1,3,1,1,4,4
2026-03-02,24,6,1,3,1,3,5,9
2026-03-09,31,14,3,2,0,4,2,11
2026-03-16,32,15,3,2,1,4,10,4
2026-03-23,35,11,1,9,4,2,4,11
2026-03-30,27,2,1,3,2,5,5,10
2026-04-06,3,0,0,0,0,1,1,1
