week_start,week_label,source,total_rows,feedback_rows,content_flag,performance_flag,ai_assistant_flag,uiux_flag,core_functionality_flag
2025-09-01,Sep W1 '25,screen,9,2,0,1,0,1,1
2025-09-01,Sep W1 '25,interview,1,0,0,0,0,0,0
2025-09-08,Sep W2 '25,screen,3,0,0,0,0,0,0
2025-09-15,Sep W3 '25,screen,7,2,1,0,0,2,0
2025-09-22,Sep W4 '25,screen,7,3,1,0,0,1,0
2025-09-22,Sep W4 '25,interview,3,2,1,0,0,0,2
2025-09-29,Sep W5 '25,screen,119,29,5,3,1,2,2
2025-10-06,Oct W1 '25,screen,179,36,8,0,0,3,3
2025-10-06,Oct W1 '25,interview,1,0,0,0,0,0,0
2025-10-13,Oct W2 '25,screen,55,20,4,0,0,5,1
2025-10-20,Oct W3 '25,screen,42,9,0,1,0,2,0
2025-10-27,Oct W4 '25,screen,7,1,0,0,0,1,0
2025-11-03,Nov W1 '25,screen,9,3,0,2,0,0,3
2025-11-03,Nov W1 '25,interview,4,0,0,0,0,0,0
2025-11-10,Nov W2 '25,screen,17,3,0,1,0,0,1
2025-11-10,Nov W2 '25,interview,3,0,0,0,0,0,0
2025-11-17,Nov W3 '25,screen,16,6,1,2,1,0,3
2025-11-17,Nov W3 '25,interview,3,0,0,0,0,0,0
2025-11-24,Nov W4 '25,screen,65,14,0,3,0,1,1
2025-11-24,Nov W4 '25,interview,1,0,0,0,0,0,0
2025-12-01,Dec W1 '25,screen,26,8,1,2,0,0,1
2025-12-01,Dec W1 '25,interview,3,0,0,0,0,0,0
2025-12-08,Dec W2 '25,screen,437,157,38,63,4,12,50
2025-12-08,Dec W2 '25,interview,5,1,0,0,1,0,0
2025-12-15,Dec W3 '25,screen,20,9,2,1,1,0,3
2025-12-15,Dec W3 '25,interview,1,0,0,0,0,0,0
2025-12-22,Dec W4 '25,screen,8,1,0,0,0,0,0
2025-12-29,Dec W5 '25,screen,7,1,0,0,0,0,0
2026-01-05,Jan W1 '26,screen,42,15,6,5,1,1,5
2026-01-05,Jan W1 '26,interview,4,1,1,0,0,0,0
2026-01-12,Jan W2 '26,screen,77,17,6,0,1,1,4
2026-01-12,Jan W2 '26,interview,8,4,0,1,2,2,0
2026-01-19,Jan W3 '26,screen,64,12,5,0,2,0,1
2026-01-19,Jan W3 '26,interview,5,1,0,0,0,1,0
2026-01-26,Jan W4 '26,screen,188,56,5,6,9,8,8
2026-01-26,Jan W4 '26,interview,7,4,0,3,2,1,0
2026-02-02,Feb W1 '26,screen,161,39,9,4,5,1,8
2026-02-02,Feb W1 '26,interview,11,3,0,2,0,0,1
2026-02-09,Feb W2 '26,screen,207,50,9,6,3,3,6
2026-02-09,Feb W2 '26,interview,1,0,0,0,0,0,0
2026-02-16,Feb W3 '26,screen,303,66,25,7,5,4,8
2026-02-16,Feb W3 '26,interview,15,1,0,0,0,0,0
2026-02-23,Feb W4 '26,screen,329,76,12,10,2,13,10
2026-02-23,Feb W4 '26,interview,21,8,0,2,0,1,2
