week_start,week_label,coderepo_n,coderepo_avg,project_fullstack_n,project_fullstack_avg,other_n,other_avg
2025-09-08,Sep W2 '25,,,,,3,4.67
2025-09-15,Sep W3 '25,1,3.0,5,5.0,1,5.0
2025-09-22,Sep W4 '25,2,1.5,5,4.4,2,4.5
2025-09-29,Sep W5 '25,,,23,4.17,96,4.15
2025-10-06,Oct W1 '25,,,69,4.23,111,4.47
2025-10-13,Oct W2 '25,5,4.4,48,4.0,2,4.0
2025-10-20,Oct W3 '25,,,18,4.44,24,4.67
2025-10-27,Oct W4 '25,,,5,5.0,2,4.0
2025-11-03,Nov W1 '25,3,5.0,10,3.8,,
2025-11-10,Nov W2 '25,5,4.8,15,4.13,,
2025-11-17,Nov W3 '25,1,4.0,9,3.33,9,4.44
2025-11-24,Nov W4 '25,,,61,4.41,5,4.8
2025-12-01,Dec W1 '25,2,4.5,26,4.0,1,3.0
2025-12-08,Dec W2 '25,3,3.33,326,3.57,113,3.27
2025-12-15,Dec W3 '25,,,17,3.88,4,3.5
2025-12-22,Dec W4 '25,,,8,4.25,,
2025-12-29,Dec W5 '25,,,5,4.4,2,4.5
2026-01-05,Jan W1 '26,6,3.33,16,4.12,24,3.33
2026-01-12,Jan W2 '26,7,4.71,52,3.73,26,4.0
2026-01-19,Jan W3 '26,16,4.44,32,4.69,21,3.86
2026-01-26,Jan W4 '26,15,2.93,147,4.36,33,4.12
2026-02-02,Feb W1 '26,10,3.5,119,4.08,43,4.02
2026-02-09,Feb W2 '26,23,3.61,117,4.35,69,4.45
2026-02-16,Feb W3 '26,69,4.04,184,4.41,65,4.28
2026-02-23,Feb W4 '26,109,3.93,158,4.43,83,4.36
