week_start,week_label,screen_n,screen_avg,interview_n,interview_avg,combined_n,combined_avg
2025-09-08,Sep W2 '25,3,4.67,,,3,4.67
2025-09-15,Sep W3 '25,7,4.71,,,7,4.71
2025-09-22,Sep W4 '25,7,4.43,2,1.5,9,3.78
2025-09-29,Sep W5 '25,119,4.15,,,119,4.15
2025-10-06,Oct W1 '25,179,4.37,1,5.0,180,4.38
2025-10-13,Oct W2 '25,55,4.04,,,55,4.04
2025-10-20,Oct W3 '25,42,4.57,,,42,4.57
2025-10-27,Oct W4 '25,7,4.71,,,7,4.71
2025-11-03,Nov W1 '25,9,3.67,4,5.0,13,4.08
2025-11-10,Nov W2 '25,17,4.47,3,3.33,20,4.3
2025-11-17,Nov W3 '25,16,3.81,3,4.33,19,3.89
2025-11-24,Nov W4 '25,65,4.43,1,5.0,66,4.44
2025-12-01,Dec W1 '25,26,4.04,3,3.67,29,4.0
2025-12-08,Dec W2 '25,437,3.49,5,4.0,442,3.49
2025-12-15,Dec W3 '25,20,3.75,1,5.0,21,3.81
2025-12-22,Dec W4 '25,8,4.25,,,8,4.25
2025-12-29,Dec W5 '25,7,4.43,,,7,4.43
2026-01-05,Jan W1 '26,42,3.64,4,3.25,46,3.61
2026-01-12,Jan W2 '26,77,3.92,8,3.62,85,3.89
2026-01-19,Jan W3 '26,64,4.42,5,3.8,69,4.38
2026-01-26,Jan W4 '26,188,4.25,7,3.14,195,4.21
2026-02-02,Feb W1 '26,161,4.05,11,3.73,172,4.03
2026-02-09,Feb W2 '26,207,4.31,2,3.5,209,4.3
2026-02-16,Feb W3 '26,303,4.3,15,4.27,318,4.3
2026-02-23,Feb W4 '26,329,4.29,21,3.71,350,4.26
